descr,y0,a0,m
value,1.4652397175432053,115.76146065554396,1.5597545936712163
+ Std. Dev,1.6205633618007975,126.2258083946879,1.983667577859158
- Std. Dev,1.309916073285613,105.29711291640001,1.1358416094832746
