a,gamma
1.0,0.0
28.551724137931036,8.269259326526712e-22
56.10344827586207,0.0005050054745212299
83.65517241379311,0.09121464650916293
111.20689655172414,0.38313337055662655
138.75862068965517,0.669291125553309
166.31034482758622,0.871263250221799
193.86206896551724,1.0038664773617763
221.41379310344828,1.0910545909672562
248.96551724137933,1.1497083803287504
276.51724137931035,1.1902788661846555
304.0689655172414,1.2191177768425385
331.62068965517244,1.2401380978402934
359.1724137931035,1.2558079436435028
386.7241379310345,1.2677250281186194
414.2758620689655,1.276950293607897
441.82758620689657,1.2842052800190444
469.3793103448276,1.2899916118977095
496.93103448275866,1.2946650961937678
524.4827586206897,1.2984827628205646
552.0344827586207,1.3016333986340185
579.5862068965517,1.3042577822131332
607.1379310344828,1.3064623536957791
634.6896551724138,1.30832861520744
662.2413793103449,1.3099197023364026
689.7931034482759,1.3112850482309557
717.344827586207,1.3124637407303223
744.8965517241379,1.313486970395738
772.448275862069,1.314379837300237
800.0,1.3151626995963723
