a,gamma
1.0,8.484375380740512e-98
28.551724137931036,0.009779925519926293
56.10344827586207,0.15187644932816688
83.65517241379311,0.3632955891293862
111.20689655172414,0.5535449926888257
138.75862068965517,0.7078304627707186
166.31034482758622,0.8308701950813333
193.86206896551724,0.9296352001556495
221.41379310344828,1.0099440063273235
248.96551724137933,1.0761668675085556
276.51724137931035,1.1315107582715775
304.0689655172414,1.1783330928650029
331.62068965517244,1.218385091351403
359.1724137931035,1.2529853015373262
386.7241379310345,1.2831405895300003
414.2758620689655,1.3096304490571016
441.82758620689657,1.333066229248633
469.3793103448276,1.3539332328339022
496.93103448275866,1.3726210309632805
524.4827586206897,1.3894455836050486
552.0344827586207,1.404665590439075
579.5862068965517,1.4184947273569324
607.1379310344828,1.4311109115772551
634.6896551724138,1.4426633944831522
662.2413793103449,1.4532782477570223
689.7931034482759,1.4630626479263158
717.344827586207,1.4721082528606733
744.8965517241379,1.4804938852692935
772.448275862069,1.4882876823996514
800.0,1.495548830967688
